(0.001) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."expire_date" > '2020-12-19 07:07:03.902933' AND "django_session"."session_key" = 'ub3xykdsrmodam7hfc4gwce1jqqo1hfc') LIMIT 21; args=('2020-12-19 07:07:03.902933', 'ub3xykdsrmodam7hfc4gwce1jqqo1hfc')
(0.000) SELECT "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso" FROM "escuela_niveleducativo" WHERE "escuela_niveleducativo"."id" = 2 LIMIT 21; args=(2,)
(0.000) SELECT "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso" FROM "escuela_niveleducativo" WHERE "escuela_niveleducativo"."id" = 1 LIMIT 21; args=(1,)
(0.000) SELECT "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso" FROM "escuela_niveleducativo" WHERE "escuela_niveleducativo"."id" = 1 LIMIT 21; args=(1,)
(0.000) SELECT "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso" FROM "escuela_niveleducativo" WHERE "escuela_niveleducativo"."id" = 1 LIMIT 21; args=(1,)
(0.000) SELECT "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso" FROM "escuela_niveleducativo" WHERE "escuela_niveleducativo"."id" = 1 LIMIT 21; args=(1,)
(0.000) SELECT "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso" FROM "escuela_niveleducativo" WHERE "escuela_niveleducativo"."id" = 3 LIMIT 21; args=(3,)
(0.000) SELECT "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso" FROM "escuela_niveleducativo" WHERE "escuela_niveleducativo"."id" = 3 LIMIT 21; args=(3,)
(0.000) SELECT COUNT(*) AS "__count" FROM "personas_estudiante"; args=()
(0.000) SELECT COUNT(*) AS "__count" FROM "personas_estudiante"; args=()
(0.000) SELECT "personas_estudiante"."id", "personas_estudiante"."nombre", "personas_estudiante"."apellidos", "personas_estudiante"."sexo", "personas_estudiante"."fecha_de_nacimiento", "personas_estudiante"."telefono_1", "personas_estudiante"."telefono_2", "personas_estudiante"."correo_electronico", "personas_estudiante"."nie", "personas_estudiante"."escuela_previa_id", "personas_estudiante"."seccion_previa", "personas_estudiante"."grado_matriculado_id", "personas_estudiante"."seccion_id", "personas_estudiante"."posee_partida", "personas_estudiante"."nacionalidad", "personas_estudiante"."municipio_de_nacimiento_id", "personas_estudiante"."direccion_de_residencia", "personas_estudiante"."municipio_de_residencia_id", "personas_estudiante"."etnia", "personas_estudiante"."es_autista", "personas_estudiante"."sordera", "personas_estudiante"."ceguera", "personas_estudiante"."baja_vision", "personas_estudiante"."down", "personas_estudiante"."discapacidad_motora", "personas_estudiante"."discapacidad_intelectual", "personas_estudiante"."embarazo", "personas_estudiante"."otro", "personas_estudiante"."usa_medicamentos", "personas_estudiante"."medicamentos", "personas_estudiante"."tipo_de_sangre", "personas_estudiante"."estado_civil", "personas_estudiante"."roommate", "personas_estudiante"."trabaja", "personas_estudiante"."dependencia_economica", "personas_estudiante"."zona_de_residencia", "personas_estudiante"."utiliza_vehiculo", "personas_estudiante"."utiliza_transporte_publico", "personas_estudiante"."camina_a_la_escuela", "personas_estudiante"."otro_medio_de_transporte", "personas_estudiante"."distancia", "personas_estudiante"."posee_refrigerador", "personas_estudiante"."posee_televisor", "personas_estudiante"."posee_celular_con_acceso_a_internet", "personas_estudiante"."posee_radio", "personas_estudiante"."posee_computadora", "personas_estudiante"."posee_tablet", "personas_estudiante"."posee_energia", "personas_estudiante"."fuente_de_agua", "personas_estudiante"."piso", "personas_estudiante"."tipo_de_sanitario", "personas_estudiante"."internet_residencial", "personas_estudiante"."compania_internet", "personas_estudiante"."cantidad_cohabitantes", "personas_estudiante"."menores_en_casa", "personas_estudiante"."responsable_id", "personas_estudiante"."activo", "escuela_escuela"."id", "escuela_escuela"."nombre", "escuela_escuela"."codigo", "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso" FROM "personas_estudiante" INNER JOIN "escuela_escuela" ON ("personas_estudiante"."escuela_previa_id" = "escuela_escuela"."id") INNER JOIN "escuela_niveleducativo" ON ("personas_estudiante"."grado_matriculado_id" = "escuela_niveleducativo"."id") ORDER BY "personas_estudiante"."seccion_id" DESC, "escuela_niveleducativo"."edad_normal_de_ingreso" ASC, "personas_estudiante"."apellidos" ASC, "personas_estudiante"."nombre" ASC, "personas_estudiante"."id" DESC; args=()
(0.000) SELECT "escuela_seccion"."id", "escuela_seccion"."periodo_escolar_id", "escuela_seccion"."nivel_educativo_id", "escuela_seccion"."seccion" FROM "escuela_seccion" WHERE "escuela_seccion"."id" = 1 LIMIT 21; args=(1,)
(0.000) SELECT "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso" FROM "escuela_niveleducativo" WHERE "escuela_niveleducativo"."id" = 1 LIMIT 21; args=(1,)
(0.011) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."expire_date" > '2020-12-19 07:07:49.817177' AND "django_session"."session_key" = 'ub3xykdsrmodam7hfc4gwce1jqqo1hfc') LIMIT 21; args=('2020-12-19 07:07:49.817177', 'ub3xykdsrmodam7hfc4gwce1jqqo1hfc')
(0.000) SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 1 LIMIT 21; args=(1,)
(0.002) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."expire_date" > '2020-12-19 07:07:50.424122' AND "django_session"."session_key" = 'ub3xykdsrmodam7hfc4gwce1jqqo1hfc') LIMIT 21; args=('2020-12-19 07:07:50.424122', 'ub3xykdsrmodam7hfc4gwce1jqqo1hfc')
(0.001) SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 1 LIMIT 21; args=(1,)
(0.000) SELECT "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso" FROM "escuela_niveleducativo" ORDER BY "escuela_niveleducativo"."edad_normal_de_ingreso" ASC; args=()
(0.001) SELECT "escuela_seccion"."id", "escuela_seccion"."periodo_escolar_id", "escuela_seccion"."nivel_educativo_id", "escuela_seccion"."seccion" FROM "escuela_seccion" INNER JOIN "escuela_periodoescolar" ON ("escuela_seccion"."periodo_escolar_id" = "escuela_periodoescolar"."id") INNER JOIN "escuela_niveleducativo" ON ("escuela_seccion"."nivel_educativo_id" = "escuela_niveleducativo"."id") ORDER BY "escuela_periodoescolar"."fecha_de_cierre" ASC, "escuela_niveleducativo"."edad_normal_de_ingreso" ASC, "escuela_seccion"."seccion" ASC; args=()
(0.000) SELECT "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso" FROM "escuela_niveleducativo" WHERE "escuela_niveleducativo"."id" = 2 LIMIT 21; args=(2,)
(0.000) SELECT "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso" FROM "escuela_niveleducativo" WHERE "escuela_niveleducativo"."id" = 2 LIMIT 21; args=(2,)
(0.000) SELECT "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso" FROM "escuela_niveleducativo" WHERE "escuela_niveleducativo"."id" = 1 LIMIT 21; args=(1,)
(0.000) SELECT "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso" FROM "escuela_niveleducativo" WHERE "escuela_niveleducativo"."id" = 1 LIMIT 21; args=(1,)
(0.001) SELECT "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso" FROM "escuela_niveleducativo" WHERE "escuela_niveleducativo"."id" = 1 LIMIT 21; args=(1,)
(0.000) SELECT "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso" FROM "escuela_niveleducativo" WHERE "escuela_niveleducativo"."id" = 1 LIMIT 21; args=(1,)
(0.000) SELECT "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso" FROM "escuela_niveleducativo" WHERE "escuela_niveleducativo"."id" = 3 LIMIT 21; args=(3,)
(0.001) SELECT "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso" FROM "escuela_niveleducativo" WHERE "escuela_niveleducativo"."id" = 3 LIMIT 21; args=(3,)
(0.000) SELECT COUNT(*) AS "__count" FROM "personas_estudiante"; args=()
(0.000) SELECT COUNT(*) AS "__count" FROM "personas_estudiante"; args=()
(0.003) SELECT "personas_estudiante"."id", "personas_estudiante"."nombre", "personas_estudiante"."apellidos", "personas_estudiante"."sexo", "personas_estudiante"."fecha_de_nacimiento", "personas_estudiante"."telefono_1", "personas_estudiante"."telefono_2", "personas_estudiante"."correo_electronico", "personas_estudiante"."nie", "personas_estudiante"."escuela_previa_id", "personas_estudiante"."seccion_previa", "personas_estudiante"."grado_matriculado_id", "personas_estudiante"."seccion_id", "personas_estudiante"."posee_partida", "personas_estudiante"."nacionalidad", "personas_estudiante"."municipio_de_nacimiento_id", "personas_estudiante"."direccion_de_residencia", "personas_estudiante"."municipio_de_residencia_id", "personas_estudiante"."etnia", "personas_estudiante"."es_autista", "personas_estudiante"."sordera", "personas_estudiante"."ceguera", "personas_estudiante"."baja_vision", "personas_estudiante"."down", "personas_estudiante"."discapacidad_motora", "personas_estudiante"."discapacidad_intelectual", "personas_estudiante"."embarazo", "personas_estudiante"."otro", "personas_estudiante"."usa_medicamentos", "personas_estudiante"."medicamentos", "personas_estudiante"."tipo_de_sangre", "personas_estudiante"."estado_civil", "personas_estudiante"."roommate", "personas_estudiante"."trabaja", "personas_estudiante"."dependencia_economica", "personas_estudiante"."zona_de_residencia", "personas_estudiante"."utiliza_vehiculo", "personas_estudiante"."utiliza_transporte_publico", "personas_estudiante"."camina_a_la_escuela", "personas_estudiante"."otro_medio_de_transporte", "personas_estudiante"."distancia", "personas_estudiante"."posee_refrigerador", "personas_estudiante"."posee_televisor", "personas_estudiante"."posee_celular_con_acceso_a_internet", "personas_estudiante"."posee_radio", "personas_estudiante"."posee_computadora", "personas_estudiante"."posee_tablet", "personas_estudiante"."posee_energia", "personas_estudiante"."fuente_de_agua", "personas_estudiante"."piso", "personas_estudiante"."tipo_de_sanitario", "personas_estudiante"."internet_residencial", "personas_estudiante"."compania_internet", "personas_estudiante"."cantidad_cohabitantes", "personas_estudiante"."menores_en_casa", "personas_estudiante"."responsable_id", "personas_estudiante"."activo", "escuela_escuela"."id", "escuela_escuela"."nombre", "escuela_escuela"."codigo", "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso" FROM "personas_estudiante" INNER JOIN "escuela_escuela" ON ("personas_estudiante"."escuela_previa_id" = "escuela_escuela"."id") INNER JOIN "escuela_niveleducativo" ON ("personas_estudiante"."grado_matriculado_id" = "escuela_niveleducativo"."id") ORDER BY "personas_estudiante"."seccion_id" ASC, "escuela_niveleducativo"."edad_normal_de_ingreso" ASC, "personas_estudiante"."apellidos" ASC, "personas_estudiante"."nombre" ASC, "personas_estudiante"."id" DESC; args=()
(0.000) SELECT "escuela_seccion"."id", "escuela_seccion"."periodo_escolar_id", "escuela_seccion"."nivel_educativo_id", "escuela_seccion"."seccion" FROM "escuela_seccion" WHERE "escuela_seccion"."id" = 1 LIMIT 21; args=(1,)
(0.000) SELECT "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso" FROM "escuela_niveleducativo" WHERE "escuela_niveleducativo"."id" = 1 LIMIT 21; args=(1,)
(0.009) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."expire_date" > '2020-12-19 07:07:50.757195' AND "django_session"."session_key" = 'ub3xykdsrmodam7hfc4gwce1jqqo1hfc') LIMIT 21; args=('2020-12-19 07:07:50.757195', 'ub3xykdsrmodam7hfc4gwce1jqqo1hfc')
(0.000) SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 1 LIMIT 21; args=(1,)
(0.001) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."expire_date" > '2020-12-19 07:07:53.780889' AND "django_session"."session_key" = 'ub3xykdsrmodam7hfc4gwce1jqqo1hfc') LIMIT 21; args=('2020-12-19 07:07:53.780889', 'ub3xykdsrmodam7hfc4gwce1jqqo1hfc')
(0.000) SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 1 LIMIT 21; args=(1,)
(0.000) SELECT "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso" FROM "escuela_niveleducativo" ORDER BY "escuela_niveleducativo"."edad_normal_de_ingreso" ASC; args=()
(0.000) SELECT "escuela_seccion"."id", "escuela_seccion"."periodo_escolar_id", "escuela_seccion"."nivel_educativo_id", "escuela_seccion"."seccion" FROM "escuela_seccion" INNER JOIN "escuela_periodoescolar" ON ("escuela_seccion"."periodo_escolar_id" = "escuela_periodoescolar"."id") INNER JOIN "escuela_niveleducativo" ON ("escuela_seccion"."nivel_educativo_id" = "escuela_niveleducativo"."id") ORDER BY "escuela_periodoescolar"."fecha_de_cierre" ASC, "escuela_niveleducativo"."edad_normal_de_ingreso" ASC, "escuela_seccion"."seccion" ASC; args=()
(0.000) SELECT "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso" FROM "escuela_niveleducativo" WHERE "escuela_niveleducativo"."id" = 2 LIMIT 21; args=(2,)
(0.000) SELECT "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso" FROM "escuela_niveleducativo" WHERE "escuela_niveleducativo"."id" = 2 LIMIT 21; args=(2,)
(0.000) SELECT "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso" FROM "escuela_niveleducativo" WHERE "escuela_niveleducativo"."id" = 1 LIMIT 21; args=(1,)
(0.000) SELECT "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso" FROM "escuela_niveleducativo" WHERE "escuela_niveleducativo"."id" = 1 LIMIT 21; args=(1,)
(0.000) SELECT "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso" FROM "escuela_niveleducativo" WHERE "escuela_niveleducativo"."id" = 1 LIMIT 21; args=(1,)
(0.000) SELECT "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso" FROM "escuela_niveleducativo" WHERE "escuela_niveleducativo"."id" = 1 LIMIT 21; args=(1,)
(0.000) SELECT "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso" FROM "escuela_niveleducativo" WHERE "escuela_niveleducativo"."id" = 3 LIMIT 21; args=(3,)
(0.000) SELECT "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso" FROM "escuela_niveleducativo" WHERE "escuela_niveleducativo"."id" = 3 LIMIT 21; args=(3,)
(0.000) SELECT COUNT(*) AS "__count" FROM "personas_estudiante"; args=()
(0.000) SELECT COUNT(*) AS "__count" FROM "personas_estudiante"; args=()
(0.000) SELECT "personas_estudiante"."id", "personas_estudiante"."nombre", "personas_estudiante"."apellidos", "personas_estudiante"."sexo", "personas_estudiante"."fecha_de_nacimiento", "personas_estudiante"."telefono_1", "personas_estudiante"."telefono_2", "personas_estudiante"."correo_electronico", "personas_estudiante"."nie", "personas_estudiante"."escuela_previa_id", "personas_estudiante"."seccion_previa", "personas_estudiante"."grado_matriculado_id", "personas_estudiante"."seccion_id", "personas_estudiante"."posee_partida", "personas_estudiante"."nacionalidad", "personas_estudiante"."municipio_de_nacimiento_id", "personas_estudiante"."direccion_de_residencia", "personas_estudiante"."municipio_de_residencia_id", "personas_estudiante"."etnia", "personas_estudiante"."es_autista", "personas_estudiante"."sordera", "personas_estudiante"."ceguera", "personas_estudiante"."baja_vision", "personas_estudiante"."down", "personas_estudiante"."discapacidad_motora", "personas_estudiante"."discapacidad_intelectual", "personas_estudiante"."embarazo", "personas_estudiante"."otro", "personas_estudiante"."usa_medicamentos", "personas_estudiante"."medicamentos", "personas_estudiante"."tipo_de_sangre", "personas_estudiante"."estado_civil", "personas_estudiante"."roommate", "personas_estudiante"."trabaja", "personas_estudiante"."dependencia_economica", "personas_estudiante"."zona_de_residencia", "personas_estudiante"."utiliza_vehiculo", "personas_estudiante"."utiliza_transporte_publico", "personas_estudiante"."camina_a_la_escuela", "personas_estudiante"."otro_medio_de_transporte", "personas_estudiante"."distancia", "personas_estudiante"."posee_refrigerador", "personas_estudiante"."posee_televisor", "personas_estudiante"."posee_celular_con_acceso_a_internet", "personas_estudiante"."posee_radio", "personas_estudiante"."posee_computadora", "personas_estudiante"."posee_tablet", "personas_estudiante"."posee_energia", "personas_estudiante"."fuente_de_agua", "personas_estudiante"."piso", "personas_estudiante"."tipo_de_sanitario", "personas_estudiante"."internet_residencial", "personas_estudiante"."compania_internet", "personas_estudiante"."cantidad_cohabitantes", "personas_estudiante"."menores_en_casa", "personas_estudiante"."responsable_id", "personas_estudiante"."activo", "escuela_escuela"."id", "escuela_escuela"."nombre", "escuela_escuela"."codigo", "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso" FROM "personas_estudiante" INNER JOIN "escuela_escuela" ON ("personas_estudiante"."escuela_previa_id" = "escuela_escuela"."id") INNER JOIN "escuela_niveleducativo" ON ("personas_estudiante"."grado_matriculado_id" = "escuela_niveleducativo"."id") ORDER BY "personas_estudiante"."sexo" ASC, "personas_estudiante"."seccion_id" ASC, "escuela_niveleducativo"."edad_normal_de_ingreso" ASC, "personas_estudiante"."apellidos" ASC, "personas_estudiante"."nombre" ASC, "personas_estudiante"."id" DESC; args=()
(0.000) SELECT "escuela_seccion"."id", "escuela_seccion"."periodo_escolar_id", "escuela_seccion"."nivel_educativo_id", "escuela_seccion"."seccion" FROM "escuela_seccion" WHERE "escuela_seccion"."id" = 1 LIMIT 21; args=(1,)
(0.000) SELECT "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso" FROM "escuela_niveleducativo" WHERE "escuela_niveleducativo"."id" = 1 LIMIT 21; args=(1,)
(0.007) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."expire_date" > '2020-12-19 07:07:53.924147' AND "django_session"."session_key" = 'ub3xykdsrmodam7hfc4gwce1jqqo1hfc') LIMIT 21; args=('2020-12-19 07:07:53.924147', 'ub3xykdsrmodam7hfc4gwce1jqqo1hfc')
(0.000) SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 1 LIMIT 21; args=(1,)
(0.001) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."expire_date" > '2020-12-19 07:08:17.060311' AND "django_session"."session_key" = 'ub3xykdsrmodam7hfc4gwce1jqqo1hfc') LIMIT 21; args=('2020-12-19 07:08:17.060311', 'ub3xykdsrmodam7hfc4gwce1jqqo1hfc')
(0.000) SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 1 LIMIT 21; args=(1,)
(0.000) SELECT COUNT(*) FROM (SELECT COUNT(DISTINCT "personas_estudiante"."id") AS "_total_estudiantes", COUNT(DISTINCT "personas_estudiante"."id") AS "_total_femenino", COUNT(DISTINCT "personas_estudiante"."id") AS "_total_masculino" FROM "escuela_niveleducativo" LEFT OUTER JOIN "escuela_seccion" ON ("escuela_niveleducativo"."id" = "escuela_seccion"."nivel_educativo_id") LEFT OUTER JOIN "personas_estudiante" ON ("escuela_seccion"."id" = "personas_estudiante"."seccion_id") GROUP BY "escuela_niveleducativo"."id") subquery; args=()
(0.000) SELECT COUNT(*) FROM (SELECT COUNT(DISTINCT "personas_estudiante"."id") AS "_total_estudiantes", COUNT(DISTINCT "personas_estudiante"."id") AS "_total_femenino", COUNT(DISTINCT "personas_estudiante"."id") AS "_total_masculino" FROM "escuela_niveleducativo" LEFT OUTER JOIN "escuela_seccion" ON ("escuela_niveleducativo"."id" = "escuela_seccion"."nivel_educativo_id") LEFT OUTER JOIN "personas_estudiante" ON ("escuela_seccion"."id" = "personas_estudiante"."seccion_id") GROUP BY "escuela_niveleducativo"."id") subquery; args=()
(0.000) SELECT "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso", COUNT(DISTINCT "personas_estudiante"."id") AS "_total_estudiantes", COUNT(DISTINCT "personas_estudiante"."id") AS "_total_femenino", COUNT(DISTINCT "personas_estudiante"."id") AS "_total_masculino" FROM "escuela_niveleducativo" LEFT OUTER JOIN "escuela_seccion" ON ("escuela_niveleducativo"."id" = "escuela_seccion"."nivel_educativo_id") LEFT OUTER JOIN "personas_estudiante" ON ("escuela_seccion"."id" = "personas_estudiante"."seccion_id") GROUP BY "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso" ORDER BY "escuela_niveleducativo"."edad_normal_de_ingreso" ASC, "escuela_niveleducativo"."id" DESC; args=()
(0.008) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."expire_date" > '2020-12-19 07:08:17.200906' AND "django_session"."session_key" = 'ub3xykdsrmodam7hfc4gwce1jqqo1hfc') LIMIT 21; args=('2020-12-19 07:08:17.200906', 'ub3xykdsrmodam7hfc4gwce1jqqo1hfc')
(0.000) SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 1 LIMIT 21; args=(1,)
(0.001) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."expire_date" > '2020-12-19 07:09:14.263346' AND "django_session"."session_key" = 'ub3xykdsrmodam7hfc4gwce1jqqo1hfc') LIMIT 21; args=('2020-12-19 07:09:14.263346', 'ub3xykdsrmodam7hfc4gwce1jqqo1hfc')
(0.000) SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 1 LIMIT 21; args=(1,)
(0.000) SELECT "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso" FROM "escuela_niveleducativo" ORDER BY "escuela_niveleducativo"."edad_normal_de_ingreso" ASC; args=()
(0.001) SELECT "escuela_seccion"."id", "escuela_seccion"."periodo_escolar_id", "escuela_seccion"."nivel_educativo_id", "escuela_seccion"."seccion" FROM "escuela_seccion" INNER JOIN "escuela_periodoescolar" ON ("escuela_seccion"."periodo_escolar_id" = "escuela_periodoescolar"."id") INNER JOIN "escuela_niveleducativo" ON ("escuela_seccion"."nivel_educativo_id" = "escuela_niveleducativo"."id") ORDER BY "escuela_periodoescolar"."fecha_de_cierre" ASC, "escuela_niveleducativo"."edad_normal_de_ingreso" ASC, "escuela_seccion"."seccion" ASC; args=()
(0.000) SELECT "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso" FROM "escuela_niveleducativo" WHERE "escuela_niveleducativo"."id" = 2 LIMIT 21; args=(2,)
(0.000) SELECT "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso" FROM "escuela_niveleducativo" WHERE "escuela_niveleducativo"."id" = 2 LIMIT 21; args=(2,)
(0.000) SELECT "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso" FROM "escuela_niveleducativo" WHERE "escuela_niveleducativo"."id" = 1 LIMIT 21; args=(1,)
(0.000) SELECT "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso" FROM "escuela_niveleducativo" WHERE "escuela_niveleducativo"."id" = 1 LIMIT 21; args=(1,)
(0.000) SELECT "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso" FROM "escuela_niveleducativo" WHERE "escuela_niveleducativo"."id" = 1 LIMIT 21; args=(1,)
(0.000) SELECT "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso" FROM "escuela_niveleducativo" WHERE "escuela_niveleducativo"."id" = 1 LIMIT 21; args=(1,)
(0.000) SELECT "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso" FROM "escuela_niveleducativo" WHERE "escuela_niveleducativo"."id" = 3 LIMIT 21; args=(3,)
(0.000) SELECT "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso" FROM "escuela_niveleducativo" WHERE "escuela_niveleducativo"."id" = 3 LIMIT 21; args=(3,)
(0.000) SELECT COUNT(*) AS "__count" FROM "personas_estudiante"; args=()
(0.000) SELECT COUNT(*) AS "__count" FROM "personas_estudiante"; args=()
